,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34
w_mean,0.0204880951073281,0.33242491364447324,0.12346899335940646,0.16553166846661724,-0.1838101927435204,-0.03816912125664066,-0.08334653237075274,-0.011229805289817504,0.15245188333084841,-0.03269503020504846,-0.20479824648290798,-0.14463196225454145,0.1755190759925516,0.0033510439527864827,-0.0335877040710288,0.17276703693121523,-0.1287183071796714,0.047886442508536985,0.046972599987169295,0.0055277280127670044,0.05496627903376916,0.1577985498789815,0.006018054274575272,0.02456977869973767,0.11160770094858637,-0.08959196926825808,-0.1343314633063011,-0.14507434490164436,0.7005418769684579,0.22748503171780704,-0.025265171627590118,0.04027417665372916,0.033815295001181814,4.1831989261442715e-14
w_std,0.031175134705191353,0.3324357311191913,0.12504251720550752,0.1706120366031221,-0.18190748760009598,-0.03541123287999596,-0.07836201169516323,0.0008816625684283744,0.1347404946664085,-0.02686607137878341,-0.19199193491320246,-0.14010345463245208,0.14620300676722447,-0.002272065637603261,-0.029902377930704827,0.1416142418209775,-0.12387424308082716,0.07018819984262148,0.10303339250182053,0.056748241204984985,0.138417815408204,0.03148531396641204,-0.0976637801890411,-0.048427840127555105,0.040444204537828495,-0.10939863144516707,0.2499675287205621,-0.1541296842815844,-0.5666394019644585,0.20873316506891407,0.3331211831554602,-0.20954296736030817,-0.00871476684147234,-9.657205590762885e-15
w_cv,0.0552152080335675,-0.12573208758993157,0.18646787424284023,0.3065176094574988,0.018809632588549317,-0.06856691594980471,0.5222172709554506,-0.004204100757979312,-0.09308391814219887,-0.15558387138785232,-0.15845102861226948,0.1260964172603196,-0.03139755736897701,0.03845764201920773,-0.1708850997696836,0.028444172147181018,-0.05844158499620703,-0.0062160193263560235,0.21101948071075377,0.21094737009074785,0.07214601389057494,-0.4938558135362803,-0.2144394212155491,-0.07535454153040716,-0.14904084323609573,-0.18052354202591042,-0.037543862007793624,0.09939639041464307,0.09064899662180824,0.024158084707707642,-0.009683439344635204,0.007135351339910291,-0.0014690429026934077,-3.030561912531482e-15
w_skewness,0.04961586739769976,-0.07891886908477438,0.02892029357271689,0.1974717114544259,-0.1102854868504346,0.11784887026685806,0.13007866704490267,0.68947344031682,-0.27171628249954816,0.38649883327489476,-0.03496944777933604,-0.25416045565550366,0.10185084962319324,0.25186369294199673,0.23028866453513053,-0.05193982459714231,0.038148049170395375,-0.028764687390053105,0.0183224188464719,-0.05878802055578883,-0.04350105256058027,0.012785801110915944,-0.00791177603638663,-0.004418662473833319,0.05673525479122231,0.05107194552882072,0.0012655766543147866,-0.022334073573014503,0.00307230499605107,-0.0033523948207694657,0.001150032658608028,-0.00043902503475883037,0.0002685209955541187,7.945033519973776e-16
avg_strength,0.1673293830248521,0.3135911353238783,0.07980969461202762,0.04271072251287233,-0.025883705166068503,0.015429934864941031,-0.01720311457467996,-0.05723242473662657,-0.22237754329972126,0.0361787590636293,0.10715248435119422,0.09595122838655326,-0.22701683989423832,-0.013080848844261677,0.009476480659931794,-0.14198440169689125,0.1760041597798361,-0.08996505849952238,-0.1445730336336976,-0.02686726152231793,-0.09765868756167749,-0.11580283429723032,-0.022109158884909042,0.005874059376050833,0.0171435134192759,0.09120215353596513,-0.07249309598246355,0.01747698956951732,-0.1273923705563495,0.6318259101662957,-0.44175643436301537,-0.09152155561645303,-0.01693081856611008,-1.296358853597468e-14
strength_std,0.0914283490230747,0.3475395311810762,0.11508054306735084,0.12939860667236963,-0.127150158062514,-0.01552522640560094,-0.05674407536073827,-0.02363516536035268,-0.011551858922360268,-0.004780874883340458,-0.07779093667433934,-0.04451806251670276,-0.00492244833676699,-0.010140156522238365,-0.019094203309355382,0.043417808744515986,-0.011166191626568553,-0.0037777841199361927,0.0004009109650961168,0.0022779581232282766,0.020708902269514183,0.022064684119384018,-0.03432271195032227,-0.00128098893505245,0.049682992040865286,0.08073397566070784,0.024244165381663862,0.35063284257187627,-0.03323403151647157,-0.5787923100104718,-0.42865238597545646,-0.39432722726621044,0.004175982778497653,1.0786510573623787e-14
strength_cv,0.004667543508456517,-0.09719685004040086,0.23432326757908525,0.3149331088464733,0.10764515299152946,-0.0786220142377826,0.4420802597755216,-0.17710248286833685,-0.09344230468116493,-0.13621722230079364,-0.08620904906141953,0.1451014158375242,0.10677016625860102,0.11603420614323794,-0.05417948666078936,-0.07294542902121831,0.01541471288462783,0.021932414642137292,-0.14541800997379875,-0.08857040317798684,-0.20660458876944246,0.5097730418507751,0.21962944706084192,0.14875835034278495,0.17357426260237913,0.2027961707389271,0.05363934734576749,-0.12980122859530852,-0.09311119193172514,-0.023873743060583534,2.6441101236539015e-05,-0.01126463585930816,0.001416887621730653,3.3653635433950058e-15
strength_skewness,-0.06719745250856207,-0.02909815237408433,0.04516519009752294,0.3162639033299017,0.1107387352796616,0.18918331109386738,-0.3659633510082313,0.36275934372994745,-0.2394881236499565,-0.34512526725515696,0.23174896087581415,0.37318920173972775,-0.00013276075704329098,-0.07721537210737635,-0.29039429665710953,0.019971851369969436,-0.11827898959401358,0.10696137643247972,0.077764459528314,-0.04279670384315901,0.21129584181207417,0.16017091250990692,0.051417062468621655,-0.08177808110899559,-0.05599467004240564,-0.044849664952779936,-0.003103619870751489,0.016124705991978378,0.014473725088713352,0.015256866820162786,0.003974838841066821,-0.006926337130202313,-0.0005464377560752832,-6.314393452555578e-16
max_strength,0.11675188048461196,0.3436586487285879,0.1075284117869519,0.10973645809265772,-0.10003533925785915,-0.0054773630112819075,-0.044271244526566965,-0.030150237852029818,-0.07890793098520778,0.0036812716224853947,-0.024896880867634485,0.0016220207625747152,-0.07247758089983383,-0.013078450426454096,-0.01662119896672119,-0.0003760280102975974,0.031178473412961732,-0.025047303272262962,-0.04997537083948305,-0.010938076657487292,-0.011377760770023825,-0.026831169973671305,-0.038569304134731974,0.015398612657353932,0.05785846283728508,0.048494070600545156,-0.031986572004131096,0.16808392475755088,-0.15637938333708937,-0.19472307325681204,0.06282782694120334,0.843055539582356,0.019167033939426044,1.2214187994352699e-14
clustering,0.19133541149468333,0.01248367967636348,-0.038742218816926105,0.12140167525545809,0.35644783854498885,0.11541236336055655,-0.2492561644860425,-0.005589509785687511,0.2048724261995111,0.3710948001531337,-0.14015386697870932,0.1790544106120196,-0.04729430009975035,0.17984886390854674,-0.22696608054932588,-0.04644153971963993,-0.12442889104719093,0.15535591244934724,0.11265032955273384,0.3741045192179203,-0.41447951981682474,0.032275203836894514,-0.1787696439671098,0.15014033620909098,-0.010908932431590851,0.053578823897123665,0.035439459265912625,-0.027742509006004237,0.00500445724791192,-0.004806519169258461,-0.011527988874776511,0.005088876349733738,7.635095273320156e-05,2.636779683484747e-16
